date,AT_th,BE_th,BG_th,CZ_th,DK_th,DE_th,EE_th,IE_th,ES_th,FR_th,HR_th,IT_th,LV_th,LT_th,LU_th,HU_th,NL_th,PL_th,PT_th,RO_th,SI_th,SK_th,FI_th,SE_th,NO_th,CH_th,UK_th,EL_th
2019-08-23 5:00,5499.757823,6519.61303,1300.542181,6461.148302,1208.626952,51777.17223,24.8441737,4147.496496,8915.42654,21890.98691,1277.075202,20465.83082,442.399434,517.0668249,328.4053786,4190.2103,9754.869617,23567.2275,7228.037562,5296.762499,1376.455991,2929.811449,2683.772591,6169.667033,5415.73563,12041.05239,49895.33681,302.2513038
2019-08-23 6:00,4341.303136,5839.073165,1252.878331,5490.554685,277.0873462,41953.49885,0.982643163,4045.706857,9395.399906,17716.2092,1012.852746,8383.773352,20.25392297,10.33843407,257.5728459,3369.668725,8747.315105,19034.33119,4476.52684,5101.697591,1114.815596,2310.722468,634.2222996,2027.793926,2252.936745,6463.389404,47670.08772,171.1014275
2019-08-23 7:00,4178.794462,5600.57581,1139.392975,5259.074199,0.296594333,40452.86165,0,3740.337939,7714.412676,17040.8301,973.8968712,5249.583901,0,0,248.9870844,3249.146521,8373.193685,18352.00092,2218.432783,4706.566111,1075.000753,2229.263392,48.550848,783.29719,1146.822028,2472.119031,40662.62629,45.61274548
2019-08-23 8:00,3895.56506,4827.51542,1071.301762,4674.281392,0.275787756,37005.33968,0,3433.243772,5348.40986,15669.11742,902.7600563,4315.945067,0,0,236.1084421,2996.545191,7223.116728,16751.59144,1233.507897,4614.035322,976.4116186,2082.637054,6.263232153,12.84145387,334.3428435,1498.088625,38727.62707,12.84647797
2019-08-23 9:00,3809.667618,4344.352675,1023.637912,4314.87748,0,35662.44581,0,3096.820387,2587.282267,15013.08093,882.435252,3546.5418,0,0,229.669121,2905.740791,6530.299283,16201.51058,696.0781862,4463.985393,942.2846106,2055.484029,1.334675734,5.410083086,214.3757254,1494.305127,34741.87423,2.965506797
2019-08-23 10:00,3686.625337,4229.216021,896.5343133,4144.312911,0,34483.52198,0,2850.109905,1543.315643,14466.65249,853.6417793,2685.914594,0,0,221.0833594,2806.681446,6399.653708,15668.67964,370.3728407,3778.757383,906.2616577,1990.316768,0.268892997,2.43059926,150.1531412,1487.800073,32400.87072,0
2019-08-23 11:00,3096.951007,4017.446818,869.2978278,3750.389979,0,29757.44882,0,2701.738566,1544.568835,12492.09547,721.5305516,2479.145452,0,0,188.8867537,2405.491098,6051.265507,13443.43963,136.5424116,3608.700796,784.9211847,1669.911067,0.170799578,1.086241461,123.9660441,1683.012192,30975.53648,0
2019-08-23 12:00,2994.802698,3941.374386,814.8248569,3610.283369,0,28912.69178,0,2689.661829,1702.402474,12077.84146,689.3496115,2355.301173,0,0,186.7403133,2327.894611,5952.291587,13004.52493,143.436483,3296.096777,750.7941767,1626.466226,0.125735873,0.610354457,119.1116299,1524.398893,28340.82774,0
2019-08-23 13:00,2732.467268,3680.260903,846.6007566,3411.291372,0,26542.3907,0,2636.179137,1454.696049,11162.29176,631.762666,3763.430592,0,0,169.5687902,2142.983834,5516.806336,11927.3631,227.5121547,3518.670839,693.9158299,1477.124586,0.838419972,2.712182223,140.8382254,1844.194584,27371.60045,0
2019-08-23 14:00,2906.583704,4000.998725,905.6131418,3622.466552,0,28493.42662,0,2693.112326,1376.13896,11789.31435,669.0248072,5594.846106,0,0,182.4474325,2299.827797,6035.42968,12820.52576,421.1568297,3993.828948,743.2103971,1588.451991,0.690167314,4.451875138,170.0809058,1676.042198,26340.17677,0.626947433
