Time	DAM_STORAGE	LNG_STO	PHES	BATT_LI	BEV_BATT	PHEV_BATT	NEWSOLAR_STORAGE	DAM_STORAGE_in	DAM_STORAGE_out	LNG_STO_in	LNG_STO_out	PHES_in	PHES_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	NEWSOLAR_STORAGE_in	NEWSOLAR_STORAGE_out	
 72	4600.732870	0.000000	163.867295	0.000000	0.944229	0.049620	0.000000	-0.175049	3.342123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.175468	0.018705	-0.010875	0.002637	0.000000	0.000000	
 73	4600.594109	0.000000	163.603970	0.000000	0.944041	0.049610	0.000000	-1.137056	1.275817	0.000000	0.000000	0.000000	0.263325	0.000000	0.000000	-0.011690	0.011690	-0.001648	0.001648	0.000000	0.000000	
 74	4601.733109	0.000000	161.889695	0.000000	0.943852	0.049600	0.000000	-1.139000	0.000000	0.000000	0.000000	0.000000	1.714275	0.000000	0.000000	-0.004676	0.004676	-0.000659	0.000659	0.000000	0.000000	
 75	4602.874186	0.000000	160.899109	0.000000	0.943663	0.049590	0.000000	-1.141077	0.000000	0.000000	0.000000	0.000000	0.990586	0.000000	0.000000	-0.002338	0.002338	-0.000330	0.000330	0.000000	0.000000	
 76	4601.716603	0.000000	160.899109	0.000000	0.943474	0.049580	0.000000	-1.143088	2.300671	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028057	0.028057	-0.003955	0.003955	0.000000	0.000000	
 77	4599.910057	0.000000	160.899109	0.000000	0.943286	0.049570	0.000000	-1.145098	2.951645	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.074818	0.074818	-0.010548	0.010548	0.000000	0.000000	
 78	4597.305486	0.000000	160.899109	0.000000	0.943097	0.049560	0.000000	-1.147042	3.751612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.187045	0.187045	-0.026370	0.026370	0.000000	0.000000	
 79	4593.857606	0.000000	160.899109	0.000000	0.942908	0.049550	0.000000	-1.149120	4.597000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.362400	0.362400	-0.051091	0.051091	0.000000	0.000000	
 80	4591.452550	0.000000	160.899109	0.000000	0.942720	0.049541	0.000000	-1.151130	3.556186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.315638	0.315638	-0.044499	0.044499	0.000000	0.000000	
 81	4589.314798	0.000000	160.899109	0.000000	0.942531	0.049531	0.000000	-1.153141	3.290892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.292258	0.292258	-0.041203	0.041203	0.000000	0.000000	
