,PHOT,WTOF,WTON,BEVS,HROR
1/11/2016 14:00,0.004,0,0.585085,0.562784125,0.123728419
1/11/2016 15:00,0,0,0.590915,0.603175734,0.123801239
1/11/2016 16:00,0,0,0.616272,0.650009628,0.123874059
1/11/2016 17:00,0,0,0.656643,0.678198538,0.123946879
1/11/2016 18:00,0,0,0.679775,0.700834509,0.124019699
1/11/2016 19:00,0,0,0.761054,0.71806047,0.124092519
1/11/2016 20:00,0,0,0.823618,0.758305791,0.124165339
1/11/2016 21:00,0,0,0.760892,0.842709823,0.124238159
1/11/2016 22:00,0,0,0.671503,0.868863703,0.124310979
1/11/2016 23:00,0,0,0.601091,0.859201846,0.124383799
1/12/2016 0:00,0,0,0.560205,0.845065758,0.124456619
1/12/2016 1:00,0,0,0.528606,0.843979572,0.124513773
1/12/2016 2:00,0,0,0.484482,0.812782315,0.124570928
1/12/2016 3:00,0,0,0.469069,0.770438313,0.124628082
1/12/2016 4:00,0,0,0.471314,0.694754941,0.124685236
1/12/2016 5:00,0,0,0.469524,0.617935154,0.124742391
1/12/2016 6:00,0,0,0.462473,0.529925439,0.124799545
1/12/2016 7:00,0,0,0.504735,0.512522205,0.1248567
1/12/2016 8:00,0.002,0,0.574344,0.557344962,0.124913854
1/12/2016 9:00,0.007,0,0.621925,0.556963538,0.124971009
1/12/2016 10:00,0.022,0,0.654617,0.543895912,0.125028163
1/12/2016 11:00,0.056,0,0.680268,0.515031661,0.125085317
1/12/2016 12:00,0.1,0,0.671434,0.507770059,0.125142472
1/12/2016 13:00,0.084,0,0.658317,0.470157718,0.125199626
1/12/2016 14:00,0.042,0,0.641109,0.417645992,0.125256781
1/12/2016 15:00,0.004,0,0.633267,0.428345972,0.125313935
1/12/2016 16:00,0,0,0.637462,0.457745336,0.12537109
1/12/2016 17:00,0,0,0.625548,0.543212351,0.125428244
1/12/2016 18:00,0,0,0.612242,0.668126263,0.125485398
1/12/2016 19:00,0,0,0.657733,0.751322478,0.125542553
1/12/2016 20:00,0,0,0.715085,0.789157288,0.125599707
1/12/2016 21:00,0,0,0.730032,0.813949488,0.125656862
1/12/2016 22:00,0,0,0.732826,0.836891509,0.125714016
1/12/2016 23:00,0,0,0.751489,0.845357064,0.125771171
1/13/2016 0:00,0,0,0.783012,0.851913562,0.125828325
1/13/2016 1:00,0,0,0.815586,0.835348669,0.125875075
1/13/2016 2:00,0,0,0.820104,0.805374038,0.125921824
1/13/2016 3:00,0,0,0.835814,0.754407426,0.125968574
1/13/2016 4:00,0,0,0.845978,0.672743348,0.126015323
1/13/2016 5:00,0,0,0.827682,0.58014471,0.126062073
1/13/2016 6:00,0,0,0.809075,0.486123419,0.126108822
1/13/2016 7:00,0,0,0.762983,0.420860116,0.126155572
1/13/2016 8:00,0.009,0,0.708883,0.412913386,0.126202321
1/13/2016 9:00,0.03,0,0.652799,0.447284001,0.126249071
1/13/2016 10:00,0.075,0,0.664963,0.469810765,0.12629582
1/13/2016 11:00,0.112,0,0.644195,0.459701586,0.12634257
1/13/2016 12:00,0.147,0,0.616592,0.437438851,0.126389319
1/13/2016 13:00,0.119,0,0.555235,0.392400205,0.126436069
1/13/2016 14:00,0.083,0,0.476706,0.360198533,0.126482818
1/13/2016 15:00,0.017,0,0.484692,0.346991908,0.126529568
1/13/2016 16:00,0,0,0.45329,0.380943438,0.126576317
1/13/2016 17:00,0,0,0.406315,0.486103374,0.126623067
1/13/2016 18:00,0,0,0.361885,0.636185765,0.126669816
1/13/2016 19:00,0,0,0.335604,0.691080783,0.126716566
1/13/2016 20:00,0,0,0.289515,0.719590934,0.126763315
1/13/2016 21:00,0,0,0.217758,0.794196201,0.126810065
1/13/2016 22:00,0,0,0.1945,0.861858938,0.126856814
1/13/2016 23:00,0,0,0.171815,0.870713665,0.126903564
1/14/2016 0:00,0,0,0.179172,0.865092431,0.126950313
1/14/2016 1:00,0,0,0.207784,0.852911693,0.126981877
1/14/2016 2:00,0,0,0.254621,0.820378233,0.12701344
1/14/2016 3:00,0,0,0.262572,0.768488317,0.127045004
1/14/2016 4:00,0,0,0.304831,0.688866823,0.127076567
1/14/2016 5:00,0,0,0.351701,0.58800326,0.127108131
1/14/2016 6:00,0,0,0.412788,0.484713461,0.127139694
1/14/2016 7:00,0.001,0,0.454678,0.405166007,0.127171258
1/14/2016 8:00,0.063,0,0.57649,0.435448646,0.127202821
1/14/2016 9:00,0.211,0,0.580232,0.450593077,0.127234385
1/14/2016 10:00,0.296,0,0.607819,0.448126667,0.127265948
1/14/2016 11:00,0.229,0,0.626924,0.429555836,0.127297512
1/14/2016 12:00,0.092,0,0.507091,0.425569038,0.127329076
1/14/2016 13:00,0.049,0,0.345124,0.391836821,0.127360639
1/14/2016 14:00,0.024,0,0.237253,0.37845706,0.127392203
1/14/2016 15:00,0.002,0,0.264181,0.390978791,0.127423766
1/14/2016 16:00,0,0,0.342155,0.446416135,0.12745533
1/14/2016 17:00,0,0,0.437711,0.562384904,0.127486893
1/14/2016 18:00,0,0,0.484295,0.681597717,0.127518457
1/14/2016 19:00,0,0,0.62063,0.723774762,0.12755002
1/14/2016 20:00,0,0,0.698421,0.748766146,0.127581584
