	BE_LT	BE_HT
2468	11297,75175	7456,76054
2469	12530,99302	7456,76054
2470	13940,41162	7456,76054
2471	15173,65289	7456,76054
2472	16583,07149	7456,76054
2473	17640,13543	7456,76054
2474	18873,3767	7456,76054
2475	19578,086	7456,76054
2476	20106,61798	7456,76054
2477	20635,14995	7456,76054
2478	20635,14995	7456,76054
2479	18873,3767	7456,76054
2480	16406,89416	7456,76054
2481	13764,2343	7456,76054
2482	10945,3971	7456,76054
2483	8302,737238	7456,76054
2484	6188,609345	7456,76054
2485	4250,658776	7456,76054
2486	3017,417505	7456,76054
2487	3017,417505	7456,76054
2488	3017,417505	7456,76054
2489	3017,417505	7456,76054
2490	4250,658776	7456,76054
2491	6188,609345	7456,76054
2492	8126,559913	7456,76054
2493	10064,51048	7456,76054
2494	12002,46105	7456,76054
2495	13940,41162	7456,76054
2496	15878,36219	7456,76054
2497	17463,95811	7456,76054
2498	19049,55403	7456,76054
2499	19754,26333	7456,76054
2500	20635,14995	7456,76054
2501	21163,68192	7456,76054
2502	21163,68192	7456,76054
2503	21163,68192	7456,76054
2504	21163,68192	7456,76054
2505	20106,61798	7456,76054
2506	15526,00754	7456,76054
2507	11826,28373	7456,76054
2508	10064,51048	7456,76054
2509	8302,737238	7456,76054
2510	9535,978509	7456,76054
2511	9535,978509	7456,76054
2512	8655,091887	7456,76054
2513	9183,62386	7456,76054
2514	10593,04246	7456,76054
2515	12178,63838	7456,76054
2516	13588,05697	7456,76054
2517	14645,12092	7456,76054
2518	15878,36219	7456,76054
2519	17111,60346	7456,76054
2520	18168,66741	7456,76054
2521	18873,3767	7456,76054
2522	19754,26333	7456,76054
2523	20106,61798	7456,76054
2524	20635,14995	7456,76054
2525	20811,32727	7456,76054
2526	20811,32727	7456,76054
2527	19578,086	7456,76054
2528	18344,84473	7456,76054
2529	16054,53951	7456,76054
2530	14997,47557	7456,76054
2531	14468,94359	7456,76054
2532	14468,94359	7456,76054
2533	14116,58894	7456,76054
2534	13235,70232	7456,76054
2535	12530,99302	7456,76054
2536	12707,17035	7456,76054
2537	13411,87965	7456,76054
2538	14116,58894	7456,76054
2539	14997,47557	7456,76054
2540	16054,53951	7456,76054
2541	16583,07149	7456,76054
2542	17463,95811	7456,76054
2543	17287,78078	7456,76054
2544	17816,31276	7456,76054
2545	18521,02206	7456,76054
2546	17992,49008	7456,76054
2547	17816,31276	7456,76054
2548	17640,13543	7456,76054
2549	17640,13543	7456,76054
2550	17463,95811	7456,76054
2551	16935,42614	7456,76054
2552	16054,53951	7456,76054
2553	15173,65289	7456,76054
2554	14292,76627	7456,76054
2555	13059,525	7456,76054
2556	12178,63838	7456,76054
2557	11650,1064	7456,76054
2558	10769,21978	7456,76054
2559	10064,51048	7456,76054
2560	9712,155833	7456,76054
2561	9712,155833	7456,76054
2562	10064,51048	7456,76054
2563	10769,21978	7456,76054
2564	11473,92908	7456,76054
2565	12883,34767	7456,76054
2566	14292,76627	7456,76054
2567	15878,36219	7456,76054
2568	16935,42614	7456,76054
2569	18873,3767	7456,76054
2570	20987,5046	7456,76054
2571	22044,56854	7456,76054
2572	23101,63249	7456,76054
2573	23806,34179	7456,76054
2574	23982,51911	7456,76054
2575	22573,10052	7456,76054
2576	20987,5046	7456,76054
2577	19578,086	7456,76054
2578	18168,66741	7456,76054
2579	16583,07149	7456,76054
2580	15349,83022	7456,76054
2581	14645,12092	7456,76054
2582	14116,58894	7456,76054
2583	14468,94359	7456,76054
2584	14468,94359	7456,76054
2585	14997,47557	7456,76054
2586	16054,53951	7456,76054
2587	17287,78078	7456,76054
2588	18521,02206	7456,76054
2589	20106,61798	7456,76054
2590	21868,39122	7456,76054
2591	23453,98714	7456,76054
2592	25039,58306	7456,76054
2593	26272,82433	7456,76054
2594	26977,53363	7456,76054
2595	27329,88828	7456,76054
2596	27858,42025	7456,76054
2597	28210,7749	7456,76054
2598	28210,7749	7456,76054
2599	26801,3563	7456,76054
2600	25039,58306	7456,76054
2601	22925,45517	7456,76054
2602	21339,85925	7456,76054
2603	19401,90868	7456,76054
2604	17992,49008	7456,76054
2605	17111,60346	7456,76054
2606	16406,89416	7456,76054
2607	16054,53951	7456,76054
2608	15878,36219	7456,76054
2609	16583,07149	7456,76054
2610	17640,13543	7456,76054
2611	18873,3767	7456,76054
2612	20282,7953	7456,76054
2613	21163,68192	7456,76054
2614	22044,56854	7456,76054
2615	22925,45517	7456,76054
2616	23806,34179	7456,76054
2617	24158,69644	7456,76054
2618	24511,05109	7456,76054
2619	24687,22841	7456,76054
2620	24863,40574	7456,76054
2621	24863,40574	7456,76054
2622	24511,05109	7456,76054
2623	24158,69644	7456,76054
2624	20106,61798	7456,76054
2625	19401,90868	7456,76054
2626	19754,26333	7456,76054
2627	20282,7953	7456,76054
2628	19578,086	7456,76054
2629	18697,19938	7456,76054
2630	17111,60346	7456,76054
2631	14645,12092	7456,76054
2632	12178,63838	7456,76054
2633	10593,04246	7456,76054
2634	10240,68781	7456,76054
2635	11121,57443	7456,76054
2636	12530,99302	7456,76054
2637	14468,94359	7456,76054
2638	16406,89416	7456,76054
2639	18344,84473	7456,76054
2640	20282,7953	7456,76054
2641	22573,10052	7456,76054
2642	25215,76038	7456,76054
2643	26449,00166	7456,76054
2644	27858,42025	7456,76054
2645	28915,4842	7456,76054
2646	28739,30687	7456,76054
2647	26625,17898	7456,76054
2648	23806,34179	7456,76054
2649	21163,68192	7456,76054
2650	18344,84473	7456,76054
2651	15878,36219	7456,76054
2652	13940,41162	7456,76054
2653	12354,8157	7456,76054
2654	11473,92908	7456,76054
2655	10769,21978	7456,76054
2656	10945,3971	7456,76054
2657	11650,1064	7456,76054
2658	13235,70232	7456,76054
2659	15173,65289	7456,76054
2660	17463,95811	7456,76054
2661	19754,26333	7456,76054
2662	22220,74587	7456,76054
2663	24687,22841	7456,76054
2664	26977,53363	7456,76054
2665	28386,95222	7456,76054
2666	29796,37082	7456,76054
2667	30677,25744	7456,76054
2668	31558,14406	7456,76054
2669	32086,67604	7456,76054
2670	31734,32139	7456,76054
2671	28386,95222	7456,76054
2672	24334,87376	7456,76054
2673	20106,61798	7456,76054
2674	15878,36219	7456,76054
2675	12178,63838	7456,76054
2676	8831,269211	7456,76054
2677	6364,786669	7456,76054
