	BE
1538	10408.44
1539	10232.53
1540	10171.80
1541	10198.34
1542	10431.38
1543	10846.63
1544	11027.94
1545	11140.86
1546	11239.39
1547	11283.93
1548	11308.22
1549	11220.05
1550	11168.31
1551	11075.63
1552	11034.69
1553	10938.41
1554	10967.21
1555	11204.30
1556	11404.05
1557	11167.86
1558	10880.38
1559	10959.11
1560	10909.62
1561	10552.85
1562	10268.07
1563	10126.36
1564	10091.71
1565	10189.79
1566	10364.35
1567	10809.74
1568	10964.96
1569	11137.72
1570	11222.30
1571	11223.64
1572	11287.08
1573	11180.91
1574	11108.92
1575	11049.54
1576	11000.50
1577	10969.46
1578	11003.20
1579	11129.17
1580	11216.45
1581	11001.85
1582	10747.21
1583	10858.33
1584	10813.79
1585	10512.36
1586	10222.18
1587	9986.89
1588	9895.11
1589	9878.02
1590	9943.25
1591	10053.47
1592	10066.07
1593	10294.17
1594	10506.07
1595	10564.10
1596	10603.24
1597	10552.40
1598	10426.43
1599	10291.02
1600	10228.93
1601	10219.48
1602	10280.22
1603	10546.11
1604	10758.01
1605	10572.20
1606	10373.80
1607	10370.20
1608	10364.35
1609	10094.86
1610	9864.97
1611	9703.46
1612	9669.26
1613	9672.86
1614	9697.61
1615	9791.19
1616	9746.20
1617	9904.56
1618	10124.11
1619	10214.09
1620	10289.22
1621	10285.17
1622	10125.91
1623	9974.29
1624	9920.31
1625	9859.57
1626	9953.15
1627	10296.42
1628	10688.72
1629	10564.10
1630	10386.84
1631	10380.10
1632	10268.07
1633	10021.08
1634	9836.18
1635	9713.35
1636	9662.97
1637	9729.55
1638	10039.08
1639	10647.33
1640	10904.67
1641	11022.54
1642	11118.82
1643	11119.27
1644	11201.15
1645	11094.53
1646	11072.03
1647	11072.03
1648	10992.85
1649	10944.26
1650	11008.60
1651	11203.40
1652	11371.21
1653	11142.21
1654	10829.99
1655	10852.93
1656	10746.31
1657	10394.94
1658	10118.26
1659	9997.69
1660	9967.54
1661	10000.39
1662	10245.58
1663	10767.90
1664	11066.18
1665	11224.54
1666	11339.27
1667	11349.61
1668	11437.79
1669	11288.43
1670	11236.69
1671	11152.11
1672	11105.32
1673	11029.29
1674	11038.29
1675	11179.11
1676	11405.40
1677	11143.56
1678	10851.13
1679	10861.48
1680	10808.84
1681	10455.23
1682	10212.29
1683	10074.17
1684	9996.34
1685	10057.97
1686	10313.96
1687	10825.04
1688	11070.68
1689	11178.21
1690	11268.18
1691	11235.79
1692	11220.50
1693	11129.62
1694	11104.87
1695	11020.74
1696	10969.46
1697	10912.32
1698	10917.72
