,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-05-31 23:00:00,4963.054630105011,283.85471234879475,7172.905827651206,7215.583749894989
2015-06-01 00:00:00,5322.034696806732,283.85471234879475,7172.905827651206,7737.490303193266
2015-06-01 01:00:00,5681.014763508455,283.85471234879475,7172.905827651206,8259.396856491543
2015-06-01 02:00:00,5896.402802714446,283.85471234879475,7172.905827651206,8572.540787285554
2015-06-01 03:00:00,5968.198818499917,283.85471234879475,7172.905827651206,8676.922101500078
2015-06-01 04:00:00,5824.606791004186,283.85471234879475,7172.905827651206,8468.159478995813
2015-06-01 05:00:00,5178.442669311001,283.85471234879475,7172.905827651206,7528.727680688999
2015-06-01 06:00:00,4963.054630105011,283.85471234879475,7172.905827651206,7215.583749894989
2015-06-01 07:00:00,4891.258614319538,283.85471234879475,7172.905827651206,7111.202435680461
2015-06-01 08:00:00,4173.2984809160935,283.85471234879475,7172.905827651206,6067.389329083905
2015-06-01 09:00:00,4101.50246513062,283.85471234879475,7172.905827651206,5963.008014869378
2015-06-01 10:00:00,4029.70645260532,283.85471234879475,7172.905827651206,5858.6267053946785
2015-06-01 11:00:00,3024.56226339537,283.85471234879475,7172.905827651206,4397.288352604629
2015-06-01 12:00:00,2019.4180741854204,283.85471234879475,7172.905827651206,2935.9499998145793
2015-06-01 13:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-06-01 14:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-06-01 15:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-06-01 16:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-06-01 17:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-06-01 18:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-06-01 19:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-06-01 20:00:00,1804.0300333493449,283.85471234879475,7172.905827651206,2622.8060666506553
2015-06-01 21:00:00,2091.2140875257646,283.85471234879475,7172.905827651206,3040.331310474235
2015-06-01 22:00:00,2450.194155042529,283.85471234879475,7172.905827651206,3562.2378649574707
2015-06-01 23:00:00,2809.1742225592943,283.85471234879475,7172.905827651206,4084.1444194407054
2015-06-02 00:00:00,3168.154290483581,283.85471234879475,7172.905827651206,4606.05097451642
2015-06-02 01:00:00,3527.134358000345,283.85471234879475,7172.905827651206,5127.957528999656
2015-06-02 02:00:00,3670.726385088555,283.85471234879475,7172.905827651206,5336.720150911444
2015-06-02 03:00:00,3814.318412176765,283.85471234879475,7172.905827651206,5545.482772823234
2015-06-02 04:00:00,3814.318412176765,283.85471234879475,7172.905827651206,5545.482772823234
2015-06-02 05:00:00,3455.338344252479,283.85471234879475,7172.905827651206,5023.57621774752
2015-06-02 06:00:00,3168.154290483581,283.85471234879475,7172.905827651206,4606.05097451642
2015-06-02 07:00:00,3024.56226339537,283.85471234879475,7172.905827651206,4397.288352604629
2015-06-02 08:00:00,2809.1742225592943,283.85471234879475,7172.905827651206,4084.1444194407054
2015-06-02 09:00:00,2593.78618213074,283.85471234879475,7172.905827651206,3771.0004868692604
2015-06-02 10:00:00,2378.398141702185,283.85471234879475,7172.905827651206,3457.8565542978145
2015-06-02 11:00:00,2019.4180741854204,283.85471234879475,7172.905827651206,2935.9499998145793
2015-06-02 12:00:00,1660.4380062611344,283.85471234879475,7172.905827651206,2414.043444738865
2015-06-02 13:00:00,1516.8459791729242,283.85471234879475,7172.905827651206,2205.280822827076
2015-06-02 14:00:00,1445.0499658325796,283.85471234879475,7172.905827651206,2100.89951216742
2015-06-02 15:00:00,1373.2539524922356,283.85471234879475,7172.905827651206,1996.5182015077646
2015-06-02 16:00:00,1732.2340200090002,283.85471234879475,7172.905827651206,2518.424755991
2015-06-02 17:00:00,1588.64199292079,283.85471234879475,7172.905827651206,2309.6621340792103
2015-06-02 18:00:00,1732.2340200090002,283.85471234879475,7172.905827651206,2518.424755991
2015-06-02 19:00:00,1947.6220604375546,283.85471234879475,7172.905827651206,2831.568688562445
2015-06-02 20:00:00,2234.806114613975,283.85471234879475,7172.905827651206,3249.093932386025
2015-06-02 21:00:00,2737.3782092189504,283.85471234879475,7172.905827651206,3979.7631087810505
2015-06-02 22:00:00,3239.9503038239245,283.85471234879475,7172.905827651206,4710.432285176074
2015-06-02 23:00:00,3886.11442551711,283.85471234879475,7172.905827651206,5649.864083482889
2015-06-03 00:00:00,4245.094492626353,283.85471234879475,7172.905827651206,6171.770637373646
2015-06-03 01:00:00,4460.482531832344,283.85471234879475,7172.905827651206,6484.914568167656
