,[10] - BE_BATT_LI,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[9] - BE_PHS,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-01-16 09:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,25146.994762078957
2015-01-16 10:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,28763.272197685474
2015-01-16 11:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-16 12:00:00,0.0,14108.308288209333,0.0,0.0,7456.7609999999995,29267.548
2015-01-16 13:00:00,1521.3248174973314,29094.192000000003,0.0,0.0,7456.7609999999995,29267.548
2015-01-16 14:00:00,0.0,21088.99987612933,0.0,0.0,7456.7609999999995,29267.548
2015-01-16 15:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-16 16:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,17015.331390156418
2015-01-16 17:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,10917.120910464444
2015-01-16 18:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,12435.220218364106
2015-01-16 19:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13085.79086839448
2015-01-16 20:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13595.319397145164
2015-01-16 21:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13372.357303288698
2015-01-16 22:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13115.781232987669
2015-01-16 23:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13899.648434301676
2015-01-17 00:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15186.063004550571
2015-01-17 01:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15638.727350549074
2015-01-17 02:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16746.932
2015-01-17 03:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,18837.389000000006
2015-01-17 04:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,19263.953999999998
2015-01-17 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,19377.441000000006
2015-01-17 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,19263.953999999998
2015-01-17 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,20936.00655176243
2015-01-17 08:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16457.71127308048
2015-01-17 09:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,17561.715
2015-01-17 10:00:00,0.0,11528.889,0.0,0.0,7456.7609999999995,16653.819
2015-01-17 11:00:00,456.5071734006119,29094.192000000003,0.0,0.0,7456.7609999999995,23483.873047369616
2015-01-17 12:00:00,3611.4420921689057,29094.192000000003,0.0,0.0,7456.7609999999995,29267.548
