Scenario,region,id,r,fuel_class,fraction
Baseline,CAPP,1983,1,HRD,0
Baseline,CAPP,1983,1,NUC,0
Baseline,CAPP,1983,1,OIL,0.404087588
Baseline,CAPP,1983,1,PEA,0
Baseline,CAPP,1983,1,SUN,0.002325929
Baseline,CAPP,1983,1,WAT,0.504308959
Baseline,CAPP,1983,1,WIN,0.000144069
Baseline,CAPP,1993,2,BIO,0.001773505
Baseline,CAPP,1993,2,GAS,0.057154401
Baseline,CAPP,1993,2,GEO,0
Baseline,CAPP,1993,2,HRD,0
Baseline,CAPP,1993,2,NUC,0
Baseline,CAPP,1993,2,OIL,0.3990967
Baseline,CAPP,1993,2,PEA,0
Baseline,CAPP,1993,2,SUN,0.002356508
Baseline,CAPP,1993,2,WAT,0.539474761
Baseline,CAPP,1993,2,WIN,0.000144125
Baseline,CAPP,1981,3,BIO,0.001741507
Baseline,CAPP,1981,3,GAS,0.047891393
Baseline,CAPP,1981,3,GEO,0
Baseline,CAPP,1981,3,HRD,0
Baseline,CAPP,1981,3,NUC,0
Baseline,CAPP,1981,3,OIL,3.88E-01
Baseline,CAPP,1981,3,PEA,0
Baseline,CAPP,1981,3,SUN,0.002370238
Baseline,CAPP,1981,3,WAT,0.560179961
Baseline,CAPP,1981,3,WIN,0.000147506
Baseline,CAPP,2017,4,BIO,0.001624507
Baseline,CAPP,2017,4,GAS,0.071800542
Baseline,CAPP,2017,4,GEO,0
Baseline,CAPP,2017,4,HRD,0
Baseline,CAPP,2017,4,NUC,0
Baseline,CAPP,2017,4,OIL,0.348794251
Baseline,CAPP,2017,4,PEA,0
Baseline,CAPP,2017,4,SUN,0.002192681
Baseline,CAPP,2017,4,WAT,0.575453354
Baseline,CAPP,2017,4,WIN,0.000134665
Baseline,CAPP,2000,5,BIO,0.001592072
Baseline,CAPP,2000,5,GAS,0.048054244
Baseline,CAPP,2000,5,GEO,0
Baseline,CAPP,2000,5,HRD,0
Baseline,CAPP,2000,5,NUC,0
Baseline,CAPP,2000,5,OIL,0.364330006
Baseline,CAPP,2000,5,PEA,0
Baseline,CAPP,2000,5,SUN,0.002132897
Baseline,CAPP,2000,5,WAT,0.583759933
Baseline,CAPP,2000,5,WIN,0.000130846
Baseline,CAPP,2005,6,BIO,0.001541757
Baseline,CAPP,2005,6,GAS,0.061667065
Baseline,CAPP,2005,6,GEO,0
Baseline,CAPP,2005,6,HRD,0
Baseline,CAPP,2005,6,NUC,0
Baseline,CAPP,2005,6,OIL,0.349112865
Baseline,CAPP,2005,6,PEA,0.00E+00
Baseline,CAPP,2005,6,SUN,0.002056452
Baseline,CAPP,2005,6,WAT,0.585493008
Baseline,CAPP,2005,6,WIN,0.000128853
Baseline,CAPP,2016,7,BIO,0.001497356
Baseline,CAPP,2016,7,GAS,0.061054582
Baseline,CAPP,2016,7,GEO,0
Baseline,CAPP,2016,7,HRD,0
Baseline,CAPP,2016,7,NUC,0
Baseline,CAPP,2016,7,OIL,0.342180927
Baseline,CAPP,2016,7,PEA,0
Baseline,CAPP,2016,7,SUN,0.001965427
Baseline,CAPP,2016,7,WAT,0.593178989
Baseline,CAPP,2016,7,WIN,0.000122719
Baseline,CAPP,1984,8,BIO,0.001526441
Baseline,CAPP,1984,8,GAS,0.047881612
Baseline,CAPP,1984,8,GEO,0
Baseline,CAPP,1984,8,HRD,0
Baseline,CAPP,1984,8,NUC,0
Baseline,CAPP,1984,8,OIL,0.351300935
Baseline,CAPP,1984,8,PEA,0
Baseline,CAPP,1984,8,SUN,0.002042511
Baseline,CAPP,1984,8,WAT,0.597121069
Baseline,CAPP,1984,8,WIN,0.000127431
Baseline,CAPP,2001,9,BIO,0.001525094
Baseline,CAPP,2001,9,GAS,0.052729433
Baseline,CAPP,2001,9,GEO,0
Baseline,CAPP,2001,9,HRD,0
Baseline,CAPP,2001,9,NUC,0
Baseline,CAPP,2001,9,OIL,0.34023503
Baseline,CAPP,2001,9,PEA,0
Baseline,CAPP,2001,9,SUN,0.002048127
Baseline,CAPP,2001,9,WAT,0.60333754
Baseline,CAPP,2001,9,WIN,0.000124777
Baseline,CAPP,1999,10,BIO,0.001510642
Baseline,CAPP,1999,10,GAS,0.051897248
Baseline,CAPP,1999,10,GEO,0
Baseline,CAPP,1999,10,HRD,0
Baseline,CAPP,1999,10,NUC,0
Baseline,CAPP,1999,10,OIL,0.337489634
Baseline,CAPP,1999,10,PEA,0
Baseline,CAPP,1999,10,SUN,0.002019038
Baseline,CAPP,1999,10,WAT,6.07E-01
Baseline,CAPP,1999,10,WIN,0.000124755
Baseline,CAPP,1992,11,BIO,0.001485026
Baseline,CAPP,1992,11,GAS,0.047765133
Baseline,CAPP,1992,11,GEO,0
Baseline,CAPP,1992,11,HRD,0
Baseline,CAPP,1992,11,NUC,0
Baseline,CAPP,1992,11,OIL,0.339142082
Baseline,CAPP,1992,11,PEA,0
Baseline,CAPP,1992,11,SUN,0.00198904
Baseline,CAPP,1992,11,WAT,0.60949529
Baseline,CAPP,1992,11,WIN,0.000123429
Baseline,CAPP,2007,12,BIO,0.001487762
Baseline,CAPP,2007,12,GAS,0.045118766
Baseline,CAPP,2007,12,GEO,0
Baseline,CAPP,2007,12,HRD,0
Baseline,CAPP,2007,12,NUC,0
Baseline,CAPP,2007,12,OIL,0.33684376
Baseline,CAPP,2007,12,PEA,0
Baseline,CAPP,2007,12,SUN,0.002012748
Baseline,CAPP,2007,12,WAT,0.614411776
Baseline,CAPP,2007,12,WIN,0.000125188
Baseline,CAPP,1995,13,BIO,0.001497009
Baseline,CAPP,1995,13,GAS,0.036511024
Baseline,CAPP,1995,13,GEO,0
Baseline,CAPP,1995,13,HRD,0
Baseline,CAPP,1995,13,NUC,0
Baseline,CAPP,1995,13,OIL,0.341541308
Baseline,CAPP,1995,13,PEA,0
Baseline,CAPP,1995,13,SUN,0.002031584
Baseline,CAPP,1995,13,WAT,0.618292024
Baseline,CAPP,1995,13,WIN,0.000127051
Baseline,CAPP,1985,14,BIO,0.001718413
Baseline,CAPP,1985,14,GAS,0.014246262
Baseline,CAPP,1985,14,GEO,0
Baseline,CAPP,1985,14,HRD,0.00E+00
Baseline,CAPP,1985,14,NUC,0
Baseline,CAPP,1985,14,OIL,0.357897917
Baseline,CAPP,1985,14,PEA,0
Baseline,CAPP,1985,14,SUN,0.00235181
Baseline,CAPP,1985,14,WAT,0.623639977
Baseline,CAPP,1985,14,WIN,0.000145621
Baseline,CAPP,2013,15,BIO,0.001512018
Baseline,CAPP,2013,15,GAS,0.045081298
Baseline,CAPP,2013,15,GEO,0
Baseline,CAPP,2013,15,HRD,0
Baseline,CAPP,2013,15,NUC,0
Baseline,CAPP,2013,15,OIL,0.323952858
Baseline,CAPP,2013,15,PEA,0
Baseline,CAPP,2013,15,SUN,0.002043157
Baseline,CAPP,2013,15,WAT,0.627283415
Baseline,CAPP,2013,15,WIN,0.000127253
Baseline,CAPP,2014,16,BIO,0.001582414
Baseline,CAPP,2014,16,GAS,0.035773626
Baseline,CAPP,2014,16,GEO,0
Baseline,CAPP,2014,16,HRD,0
Baseline,CAPP,2014,16,NUC,0
Baseline,CAPP,2014,16,OIL,0.324881998
Baseline,CAPP,2014,16,PEA,0
Baseline,CAPP,2014,16,SUN,0.002157371
Baseline,CAPP,2014,16,WAT,0.635471022
Baseline,CAPP,2014,16,WIN,0.000133569
Baseline,CAPP,2012,17,BIO,0.001532693
Baseline,CAPP,2012,17,GAS,0.019547764
Baseline,CAPP,2012,17,GEO,0
Baseline,CAPP,2012,17,HRD,0
Baseline,CAPP,2012,17,NUC,0
Baseline,CAPP,2012,17,OIL,0.33861843
Baseline,CAPP,2012,17,PEA,0
Baseline,CAPP,2012,17,SUN,0.002100283
Baseline,CAPP,2012,17,WAT,0.63806815
Baseline,CAPP,2012,17,WIN,0.00013268
Baseline,CAPP,2008,18,BIO,0.001535037
Baseline,CAPP,2008,18,GAS,0.011817496
Baseline,CAPP,2008,18,GEO,0
Baseline,CAPP,2008,18,HRD,0
Baseline,CAPP,2008,18,NUC,0
Baseline,CAPP,2008,18,OIL,0.343260395
Baseline,CAPP,2008,18,PEA,0
Baseline,CAPP,2008,18,SUN,0.002080327
Baseline,CAPP,2008,18,WAT,0.641177909
Baseline,CAPP,2008,18,WIN,0.000128835
Baseline,CAPP,1982,19,BIO,0.001599919
Baseline,CAPP,1982,19,GAS,0.021873039
Baseline,CAPP,1982,19,GEO,0
Baseline,CAPP,1982,19,HRD,0
Baseline,CAPP,1982,19,NUC,0
Baseline,CAPP,1982,19,OIL,0.3222156
Baseline,CAPP,1982,19,PEA,0
Baseline,CAPP,1982,19,SUN,0.002197073
Baseline,CAPP,1982,19,WAT,0.651977977
Baseline,CAPP,1982,19,WIN,0.000136392
Baseline,CAPP,1980,20,BIO,0.001574264
Baseline,CAPP,1980,20,GAS,0.033770367
Baseline,CAPP,1980,20,GEO,0
