Variable,Scenario,id,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs
Thermal,Baseline,2006,WAPP,1.32306E-05,0.001008787,1.05281E-05,0.00080273
Thermal,Baseline,2007,WAPP,1.20561E-05,0.000827662,9.59352E-06,0.000658602
Thermal,Baseline,2008,WAPP,1.32098E-05,0.001011381,1.05116E-05,0.000804795
Thermal,Baseline,2009,WAPP,1.3377E-05,0.001065575,1.06446E-05,0.000847919
Thermal,Baseline,2010,WAPP,1.23391E-05,0.000860144,9.81868E-06,0.00068445
Thermal,Baseline,2011,WAPP,1.31769E-05,0.00090857,1.04854E-05,0.000722984
Thermal,Baseline,2012,WAPP,1.26402E-05,0.000906458,1.00583E-05,0.000721304
Thermal,Baseline,2013,WAPP,1.22546E-05,0.000827471,9.75145E-06,0.000658451
Thermal,Baseline,2014,WAPP,1.2782E-05,0.000869879,1.01711E-05,0.000692196
Thermal,Baseline,2015,WAPP,1.31112E-05,0.000991171,1.04331E-05,0.000788713
Thermal,Baseline,2016,WAPP,1.3051E-05,0.000931648,1.03852E-05,0.000741348
Thermal,Baseline,2017,WAPP,1.33436E-05,0.00114616,1.0618E-05,0.000912043
Thermal,Baseline,2018,WAPP,1.30741E-05,0.000963841,1.04036E-05,0.000766965
Thermal,Connected,1980,CAPP,2.98782E-08,2.76366E-08,1.8733E-08,1.73276E-08
Thermal,Connected,1981,CAPP,3.90315E-08,3.6796E-08,2.4472E-08,2.30704E-08
Thermal,Connected,1982,CAPP,2.87181E-08,2.64827E-08,1.80057E-08,1.66041E-08
Thermal,Connected,1983,CAPP,4.95174E-08,9.52832E-08,3.10464E-08,5.97407E-08
Thermal,Connected,1984,CAPP,4.34086E-08,4.11671E-08,2.72164E-08,2.58109E-08
Thermal,Connected,1985,CAPP,2.92675E-08,2.7032E-08,1.83501E-08,1.69485E-08
Thermal,Connected,1986,CAPP,1.91006E-08,1.73754E-08,1.19757E-08,1.0894E-08
Thermal,Connected,1987,CAPP,2.32656E-08,2.12029E-08,1.45871E-08,1.32938E-08
