Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLCapitalf_STO	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLCapitalf_STO_in	SLCapitalf_STO_out	
 79	2.070896	32.899743	0.000000	0.000000	0.000000	1.452614	0.000000	237.149679	0.000000	0.000000	0.000000	2.882567	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.262044	
 80	2.070896	30.432844	0.000000	0.000000	0.000000	1.452614	0.000000	237.016449	0.000000	0.000000	0.000000	2.460319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133230	
 81	2.070896	30.426757	0.000000	0.000000	0.000000	1.452614	0.000000	236.947622	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068826	
 82	2.070896	30.420672	0.000000	0.000000	0.000000	1.452614	0.000000	236.782184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165438	
 83	2.070896	30.414588	0.000000	0.000000	0.000000	1.452614	0.000000	236.487938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294246	
 84	2.070896	32.185447	0.000000	0.000000	0.000000	1.452614	0.000000	236.090638	0.000000	0.000000	-1.776942	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.397300	
 85	2.070896	35.897886	0.000000	0.000000	0.000000	1.452614	0.000000	235.796392	0.000000	0.000000	-3.718877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294246	
 86	2.070896	39.474824	0.000000	0.000000	0.000000	1.452614	0.000000	235.489262	0.000000	0.000000	-3.584117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307129	
 87	2.070896	39.466929	0.000000	0.000000	0.000000	1.452614	0.000000	235.053319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.435943	
 88	2.070896	39.459035	0.000000	0.000000	0.000000	1.452135	0.000000	234.565849	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000478	0.000000	0.000000	0.000000	0.487470	
 89	2.070896	39.451143	0.000000	0.000000	0.000000	1.451657	0.000000	234.078379	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000478	0.000000	0.000000	0.000000	0.487470	
 90	2.070896	39.443253	0.000000	0.000000	0.000000	1.451657	0.000000	233.912941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165438	
 91	2.070896	39.435365	0.000000	0.000000	0.000000	1.451657	0.000000	234.005131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092190	0.000000	
 92	2.070896	39.427477	0.000000	0.000000	0.000000	1.451657	0.000000	234.258337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.253206	0.000000	
 93	2.070896	39.419592	0.000000	0.000000	0.000000	1.451657	0.000000	234.672558	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.414221	0.000000	
 94	2.070896	39.411708	0.000000	0.000000	0.000000	1.451657	0.000000	235.202711	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 95	2.070896	39.403826	0.000000	0.000000	0.000000	1.451657	0.000000	235.810151	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.607441	0.000000	
 96	2.070896	39.395945	0.000000	0.000000	0.000000	1.451657	0.000000	236.494880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.684728	0.000000	
 97	2.070896	39.388066	0.000000	0.000000	0.000000	1.451657	0.000000	237.198930	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.704050	0.000000	
 98	2.070896	39.380188	0.000000	0.000000	0.000000	1.451657	0.000000	237.922302	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.723372	0.000000	
 99	2.070896	39.372312	0.000000	0.000000	0.000000	1.451657	0.000000	238.652115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.729813	0.000000	
 100	2.070896	38.654551	0.000000	0.000000	0.000000	1.451657	0.000000	239.311080	0.000000	0.000000	0.000000	0.709887	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.658966	0.000000	
 101	2.070896	37.564105	0.000000	0.000000	0.000000	1.451657	0.000000	239.841233	0.000000	0.000000	0.000000	1.082714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 102	2.070896	35.789467	0.000000	0.000000	0.000000	1.451657	0.000000	240.062235	0.000000	0.000000	0.000000	1.767125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.221002	0.000000	
